Date,Time,Red Freq,Green Freq,Blue Freq,Value
8/29/2023,21:55:55,135,160,155,2000
8/29/2023,21:56:08,132,157,152,2000
8/29/2023,21:56:14,132,156,152,2000
8/29/2023,21:56:21,131,155,151,2000
8/29/2023,21:56:27,131,155,151,2000
8/29/2023,21:56:48,120,139,129,2000
8/29/2023,21:57:06,172,193,185,1000
8/29/2023,21:57:17,165,184,175,1000
8/29/2023,21:57:25,183,211,189,1000
8/29/2023,21:57:32,179,206,185,1000
8/29/2023,21:57:42,181,210,187,1000
8/29/2023,21:57:57,166,205,208,1000
8/29/2023,21:58:07,160,199,203,1000
8/29/2023,21:58:16,159,198,203,1000
8/29/2023,21:58:29,131,150,136,2000
8/30/2023,22:00:24,183,214,194,1000
8/30/2023,22:00:30,195,226,202,1000
8/30/2023,22:00:36,189,218,196,1000
8/30/2023,22:00:42,188,217,195,1000
8/30/2023,22:00:59,159,202,225,1000
8/30/2023,22:01:13,158,200,221,1000
8/30/2023,22:01:29,164,208,230,1000
8/30/2023,22:01:42,164,209,231,1000
8/30/2023,22:01:55,169,195,176,1000
8/30/2023,22:02:03,170,197,178,1000
8/30/2023,22:02:09,170,197,178,1000
8/30/2023,22:02:23,170,197,178,1000
8/30/2023,22:02:28,170,197,178,1000
8/30/2023,22:02:39,172,200,181,1000
8/30/2023,22:02:53,148,174,156,1000
8/30/2023,22:04:00,208,242,219,1000
8/30/2023,22:04:08,201,235,212,1000
8/30/2023,22:04:14,200,233,212,1000
8/30/2023,22:04:39,176,223,218,2000
8/30/2023,22:04:44,179,224,219,2000
8/30/2023,22:04:50,175,220,216,2000
8/30/2023,22:04:56,166,208,204,2000
8/30/2023,22:05:03,163,208,205,2000
8/30/2023,22:05:13,160,187,178,2000
8/30/2023,22:05:27,159,186,177,2000
8/30/2023,22:05:38,159,186,177,2000
8/30/2023,22:05:45,185,219,211,2000
8/30/2023,22:05:52,147,212,189,2000
8/30/2023,22:06:13,166,210,207,2000
8/30/2023,22:06:25,119,144,144,2000
8/30/2023,22:06:37,141,160,148,2000
8/30/2023,22:06:45,141,160,148,2000
8/30/2023,22:07:21,194,210,195,2000
8/30/2023,22:07:33,176,209,223,2000
8/30/2023,22:07:38,171,187,174,2000
8/30/2023,22:07:46,170,186,173,2000
8/30/2023,22:08:04,169,184,171,2000
